I_N;I_Co;I_Co2;Espece;Genre;Famille;I_Ci;I_D;I_R;I_Lo;I_La;F_N;F_M_F;F_M_S;F_T_M_S;F_S;F_S_S;F_M_P;F_A;F_B;F_Ba;F_Cd;F_Cu;F_Fe;F_K;F_Li;F_Mg;F_Mn;F_Ni;F_P;F_Pb;F_Zn;R_M_S;R_L;R_L_S;R_V;R_D_T;R_D;R_M_P;R_Al;R_B;R_Ba;R_Ca;R_Cd;R_Cu;R_Fe;R_K;R_Li;R_Mg;R_Mn;R_Ni;R_P;R_Pb;R_Zn;S_M_P;S_M_C;S_pH;S_C;S_M_E;S_Al;S_As;S_B;S_Ca;S_Cd;S_Co;S_Cr;S_Cu;S_K;S_Mg;S_Mn;S_Ni;S_P;S_Pb;S_Zn;;;
2;Que_Rub_2;Que_Rub_2;Que_Rub;Que;Fagaceae;66,5;21,16760743;5;4,35835000;50,78395000;1;0,4187;0,1245;0,297348937;48,609;390,4337349;0,3453;47,955466;38,4335067;24,5177926;0,06785196;9,83328266;149,171717;12565,8063;0,2065857;1691,13096;191,449323;5,92853748;2081,0281;0,6206954;67,0161298;0,1161;5219,729;44,95890612;646,786;0,179502958;0,352;0,3364;1951,1476;12,195972;45,4590392;2671,79506;0,54743957;15,438946;2255,85289;3251,05128;0,66070536;1402,92776;516,972186;8,73465043;2474,7495;63,5164292;58,5955932;354,35;0;3,95;75,4;10,01;398,238454;0,03531416;-0,0982883;73,4389667;0,02852351;0,18313893;0,36495894;1,7536485;45,6495553;17,3226525;15,0939107;0,29549122;24,7131737;12,0662745;1,86327893;;;
2;Que_Rub_2;Que_Rub_2;Que_Rub;Que;Fagaceae;66,5;21,16760743;5;4,35835000;50,78395000;2;0,4168;0,1291;0,309740883;48,28;373,9736638;0,3453;47,955466;38,4335067;24,5177926;0,06785196;9,83328266;149,171717;12565,8063;0,2065857;1691,13096;191,449323;5,92853748;2081,0281;0,6206954;67,0161298;0,1161;5219,729;44,95890612;646,786;0,179502958;0,352;0,3364;1951,1476;12,195972;45,4590392;2671,79506;0,54743957;15,438946;2255,85289;3251,05128;0,66070536;1402,92776;516,972186;8,73465043;2474,7495;63,5164292;58,5955932;354,35;0;3,95;75,4;10,01;398,238454;0,03531416;-0,0982883;73,4389667;0,02852351;0,18313893;0,36495894;1,7536485;45,6495553;17,3226525;15,0939107;0,29549122;24,7131737;12,0662745;1,86327893;;;
2;Que_Rub_2;Que_Rub_2;Que_Rub;Que;Fagaceae;66,5;21,16760743;5;4,35835000;50,78395000;3;0,5167;0,1673;0,323785562;59,077;353,1201435;0,3453;47,955466;38,4335067;24,5177926;0,06785196;9,83328266;149,171717;12565,8063;0,2065857;1691,13096;191,449323;5,92853748;2081,0281;0,6206954;67,0161298;0,1161;5219,729;44,95890612;646,786;0,179502958;0,352;0,3364;1951,1476;12,195972;45,4590392;2671,79506;0,54743957;15,438946;2255,85289;3251,05128;0,66070536;1402,92776;516,972186;8,73465043;2474,7495;63,5164292;58,5955932;354,35;0;3,95;75,4;10,01;398,238454;0,03531416;-0,0982883;73,4389667;0,02852351;0,18313893;0,36495894;1,7536485;45,6495553;17,3226525;15,0939107;0,29549122;24,7131737;12,0662745;1,86327893;;;
2;Que_Rub_2;Que_Rub_2;Que_Rub;Que;Fagaceae;66,5;21,16760743;5;4,35835000;50,78395000;4;0,474;0,1408;0,297046414;51,788;367,8125;0,3453;47,955466;38,4335067;24,5177926;0,06785196;9,83328266;149,171717;12565,8063;0,2065857;1691,13096;191,449323;5,92853748;2081,0281;0,6206954;67,0161298;0,1161;5219,729;44,95890612;646,786;0,179502958;0,352;0,3364;1951,1476;12,195972;45,4590392;2671,79506;0,54743957;15,438946;2255,85289;3251,05128;0,66070536;1402,92776;516,972186;8,73465043;2474,7495;63,5164292;58,5955932;354,35;0;3,95;75,4;10,01;398,238454;0,03531416;-0,0982883;73,4389667;0,02852351;0,18313893;0,36495894;1,7536485;45,6495553;17,3226525;15,0939107;0,29549122;24,7131737;12,0662745;1,86327893;;;
2;Que_Rub_2;Que_Rub_2;Que_Rub;Que;Fagaceae;66,5;21,16760743;5;4,35835000;50,78395000;5;0,7303;0,2475;0,338901821;87,503;353,5474747;0,3453;47,955466;38,4335067;24,5177926;0,06785196;9,83328266;149,171717;12565,8063;0,2065857;1691,13096;191,449323;5,92853748;2081,0281;0,6206954;67,0161298;0,1161;5219,729;44,95890612;646,786;0,179502958;0,352;0,3364;1951,1476;12,195972;45,4590392;2671,79506;0,54743957;15,438946;2255,85289;3251,05128;0,66070536;1402,92776;516,972186;8,73465043;2474,7495;63,5164292;58,5955932;354,35;0;3,95;75,4;10,01;398,238454;0,03531416;-0,0982883;73,4389667;0,02852351;0,18313893;0,36495894;1,7536485;45,6495553;17,3226525;15,0939107;0,29549122;24,7131737;12,0662745;1,86327893;;;
3;Que_Rub_3;Que_Rub_3;Que_Rub;Que;Fagaceae;143;45,51831372;5;4,35856667;50,78385000;1;1,3277;0,402;0,302779242;118,242;294,1343284;0,3965;83,6525658;46,1849606;12,0455025;0,08494473;10,2203675;200,898255;22417,2989;0,10263136;1615,03982;196,212534;5,26693464;2084,98479;1,08944804;122,918243;0,2656;5379,638;20,25466114;1153,543;0,23024716;0,414;0,3634;2056,46009;11,5115031;45,7811085;3251,00427;0,78773509;14,0128055;1728,87458;3167,38501;0,50496176;1160,53733;531,063937;5,30155831;1925,2323;22,1038906;51,0724826;256,79;0;3,75;83,8;10;408,701001;0,07180791;-0,0902739;86,5244977;0,05549782;0,36905672;0,4092052;2,76542202;65,293837;26,6231672;9,52590405;0,71300905;44,5087758;21,3702307;5,05079351;;;
3;Que_Rub_3;Que_Rub_3;Que_Rub;Que;Fagaceae;143;45,51831372;5;4,35856667;50,78385000;2;1,3665;0,4172;0,305305525;125,904;301,7833174;0,3965;83,6525658;46,1849606;12,0455025;0,08494473;10,2203675;200,898255;22417,2989;0,10263136;1615,03982;196,212534;5,26693464;2084,98479;1,08944804;122,918243;0,2656;5379,638;20,25466114;1153,543;0,23024716;0,414;0,3634;2056,46009;11,5115031;45,7811085;3251,00427;0,78773509;14,0128055;1728,87458;3167,38501;0,50496176;1160,53733;531,063937;5,30155831;1925,2323;22,1038906;51,0724826;256,79;0;3,75;83,8;10;408,701001;0,07180791;-0,0902739;86,5244977;0,05549782;0,36905672;0,4092052;2,76542202;65,293837;26,6231672;9,52590405;0,71300905;44,5087758;21,3702307;5,05079351;;;
3;Que_Rub_3;Que_Rub_3;Que_Rub;Que;Fagaceae;143;45,51831372;5;4,35856667;50,78385000;3;1,4254;0,4787;0,335835555;124,449;259,9728431;0,3965;83,6525658;46,1849606;12,0455025;0,08494473;10,2203675;200,898255;22417,2989;0,10263136;1615,03982;196,212534;5,26693464;2084,98479;1,08944804;122,918243;0,2656;5379,638;20,25466114;1153,543;0,23024716;0,414;0,3634;2056,46009;11,5115031;45,7811085;3251,00427;0,78773509;14,0128055;1728,87458;3167,38501;0,50496176;1160,53733;531,063937;5,30155831;1925,2323;22,1038906;51,0724826;256,79;0;3,75;83,8;10;408,701001;0,07180791;-0,0902739;86,5244977;0,05549782;0,36905672;0,4092052;2,76542202;65,293837;26,6231672;9,52590405;0,71300905;44,5087758;21,3702307;5,05079351;;;
3;Que_Rub_3;Que_Rub_3;Que_Rub;Que;Fagaceae;143;45,51831372;5;4,35856667;50,78385000;4;1,3305;0,4217;0,316948516;129,388;306,8247569;0,3965;83,6525658;46,1849606;12,0455025;0,08494473;10,2203675;200,898255;22417,2989;0,10263136;1615,03982;196,212534;5,26693464;2084,98479;1,08944804;122,918243;0,2656;5379,638;20,25466114;1153,543;0,23024716;0,414;0,3634;2056,46009;11,5115031;45,7811085;3251,00427;0,78773509;14,0128055;1728,87458;3167,38501;0,50496176;1160,53733;531,063937;5,30155831;1925,2323;22,1038906;51,0724826;256,79;0;3,75;83,8;10;408,701001;0,07180791;-0,0902739;86,5244977;0,05549782;0,36905672;0,4092052;2,76542202;65,293837;26,6231672;9,52590405;0,71300905;44,5087758;21,3702307;5,05079351;;;
4;Rib_Rub_1;Rib_Rub_1;Rib_Rub;Rib;Grossulariaceae;6,283185307;2;4;4,35838333;50,78473333;1;0,5601;0,1465;0,261560436;49,557;338,2730375;0,3207;39,9826106;37,8831706;50,2576536;0,12296406;6,01290367;102,253729;14701,6779;0,08162863;4332,27021;207,94607;1,93224086;1511,76737;0,5647387;66,2971544;0,6264;4188,719;6,686971584;4317,216;0,145093505;0,842;0,3145;654,727847;20,5569107;37,397849;12959,0473;1,80791545;20,3750111;971,282578;5485,2022;0,46670928;1697,3422;201,717999;4,62175255;3110,4401;12,368796;173,613201;328,27;0;4,87;53,9;9,99;204,171353;0,0583815;-0,0985849;885,303864;0,17361763;0,20514132;0,28632499;2,6600392;69,1210766;62,735841;20,2048774;0,85040231;19,5152057;13,4637474;10,4052333;;;
